Terrain,DeviceType,UseCase,RIS_Used,Satellite_Link,SignalStrength_dBm,Throughput_Mbps,Latency_ms,Energy_Watts,Coverage_km
Mountain,UAV_Node,Disaster_Response,1,0,-84.75,5.303,33.17,3.976,0.1
Rural,User_Equipment,Telemedicine,0,1,-85.69,8.272,96.67,2.438,105.59
Urban,User_Equipment,Agriculture,1,0,-62.05,0.5,19.07,1.653,3.21
Urban,IoT_Sensor,Telemedicine,0,0,-70.52,0.5,14.71,1.868,5.44
Urban,IoT_Sensor,Disaster_Response,1,0,-62.67,0.5,4.86,1.598,6.58
Urban,IoT_Sensor,Disaster_Response,0,0,-72.91,0.5,23.22,1.525,3.86
Rural,User_Equipment,Disaster_Response,0,1,-97.19,8.618,117.55,2.741,103.79
Rural,IoT_Sensor,Agriculture,0,0,-85.67,6.091,20.18,1.944,2.54
Rural,IoT_Sensor,Agriculture,1,0,-71.89,8.235,22.25,1.532,7.9
Urban,IoT_Sensor,Smart_City,1,1,-59.37,1.511,106.93,1.601,121.08
Mountain,User_Equipment,Disaster_Response,0,1,-90.17,10.278,102.31,2.616,101.44
Rural,UAV_Node,Telemedicine,0,1,-78.82,0.5,112.03,4.404,85.91
Rural,IoT_Sensor,Agriculture,0,0,-84.56,0.78,22.02,1.612,6.62
Rural,IoT_Sensor,Disaster_Response,1,0,-78.01,6.756,36.32,1.493,3.83
Urban,User_Equipment,Disaster_Response,1,1,-67.09,19.648,92.67,2.312,91.08
Urban,IoT_Sensor,Agriculture,0,1,-71.58,0.5,118.18,1.596,102.26
Urban,IoT_Sensor,Smart_City,0,0,-66.92,0.781,27.75,1.266,2.65
Rural,IoT_Sensor,Agriculture,0,0,-78.98,4.475,25.53,1.398,8.64
Urban,IoT_Sensor,Agriculture,0,0,-70.7,0.5,22.34,1.265,3.87
Urban,IoT_Sensor,Telemedicine,0,1,-72.25,9.919,97.51,1.379,93.89
Urban,IoT_Sensor,Telemedicine,1,0,-64.0,1.859,32.01,1.975,5.42
Urban,IoT_Sensor,Smart_City,0,0,-66.99,0.5,21.4,1.909,3.03
Mountain,UAV_Node,Disaster_Response,1,0,-96.22,15.844,10.33,4.693,0.1
Rural,IoT_Sensor,Agriculture,0,0,-96.48,14.358,8.83,1.42,6.57
Rural,User_Equipment,Smart_City,0,1,-87.75,14.359,98.14,2.809,126.22
Urban,User_Equipment,Telemedicine,1,0,-70.1,0.5,23.1,1.922,7.39
Rural,IoT_Sensor,Agriculture,1,1,-81.54,7.174,99.43,1.235,117.19
Rural,User_Equipment,Disaster_Response,1,1,-79.74,11.855,112.19,2.262,101.6
Urban,IoT_Sensor,Telemedicine,0,0,-72.27,0.5,1.0,1.882,4.08
Urban,UAV_Node,Telemedicine,0,0,-62.74,0.5,16.44,3.891,2.84
Urban,IoT_Sensor,Telemedicine,1,0,-62.37,5.37,1.82,1.728,3.77
Rural,IoT_Sensor,Smart_City,0,1,-83.5,4.462,107.6,1.77,128.41
Rural,IoT_Sensor,Disaster_Response,0,0,-81.89,0.73,19.06,2.206,6.09
Urban,UAV_Node,Agriculture,0,0,-75.69,0.5,19.2,3.566,0.66
Urban,User_Equipment,Smart_City,0,1,-64.8,1.644,91.36,2.911,124.7
Rural,User_Equipment,Smart_City,1,0,-79.38,0.5,32.79,2.654,5.32
Rural,IoT_Sensor,Smart_City,0,1,-81.65,2.79,110.42,1.264,111.91
Mountain,User_Equipment,Telemedicine,0,0,-100.36,11.236,40.84,3.027,0.1
Rural,IoT_Sensor,Disaster_Response,0,0,-92.77,12.385,18.7,1.849,5.84
Urban,UAV_Node,Smart_City,0,0,-65.91,0.5,20.8,3.942,7.62
Urban,IoT_Sensor,Agriculture,0,1,-68.12,0.5,92.93,1.263,70.0
Rural,IoT_Sensor,Disaster_Response,0,0,-89.51,7.854,28.56,1.441,6.87
Urban,IoT_Sensor,Agriculture,0,1,-74.35,0.5,116.49,2.125,127.02
Rural,IoT_Sensor,Disaster_Response,1,1,-73.37,3.738,110.71,1.375,117.72
Mountain,User_Equipment,Agriculture,0,0,-100.95,7.352,27.7,2.882,0.1
Rural,IoT_Sensor,Telemedicine,0,1,-76.79,2.471,103.61,1.312,104.86
Urban,User_Equipment,Smart_City,1,0,-68.5,0.5,7.07,2.076,4.31
Rural,IoT_Sensor,Agriculture,1,0,-75.81,0.5,25.72,1.635,5.98
Rural,User_Equipment,Disaster_Response,0,0,-86.64,7.807,24.51,2.251,6.37
Rural,IoT_Sensor,Smart_City,0,1,-81.98,12.366,81.3,1.623,104.64
Mountain,IoT_Sensor,Smart_City,0,0,-97.72,12.118,23.38,1.753,0.1
Urban,User_Equipment,Disaster_Response,1,0,-64.81,0.5,17.17,2.343,0.96
Mountain,IoT_Sensor,Agriculture,1,0,-88.8,11.39,31.99,1.474,0.1
Mountain,IoT_Sensor,Telemedicine,1,0,-94.01,14.973,22.91,1.718,0.1
Urban,UAV_Node,Telemedicine,0,0,-66.3,0.5,18.89,4.218,5.11
Urban,UAV_Node,Agriculture,1,1,-66.57,9.625,97.51,4.213,92.55
Urban,IoT_Sensor,Smart_City,0,1,-71.14,0.5,98.06,1.214,95.15
Urban,IoT_Sensor,Smart_City,0,0,-74.97,0.5,12.44,1.425,0.1
Urban,User_Equipment,Smart_City,0,1,-82.81,8.692,110.49,3.032,90.9
Rural,IoT_Sensor,Smart_City,1,0,-79.96,15.257,36.55,1.874,4.79
Urban,IoT_Sensor,Agriculture,0,1,-57.94,0.5,95.16,1.098,87.85
Urban,IoT_Sensor,Smart_City,1,0,-60.08,1.984,13.88,1.445,8.45
Mountain,User_Equipment,Disaster_Response,0,0,-95.1,7.967,39.91,2.066,0.1
Urban,User_Equipment,Smart_City,0,0,-71.31,2.71,16.42,2.568,6.54
Mountain,IoT_Sensor,Telemedicine,0,1,-94.89,14.493,113.61,2.359,96.15
Urban,IoT_Sensor,Smart_City,0,0,-67.26,0.5,27.4,1.226,7.52
Urban,IoT_Sensor,Agriculture,1,0,-69.9,9.969,1.0,1.249,3.67
Rural,User_Equipment,Telemedicine,0,0,-79.43,3.204,33.18,2.793,3.53
Rural,IoT_Sensor,Agriculture,1,0,-75.42,3.496,20.73,0.907,7.19
Mountain,IoT_Sensor,Agriculture,1,0,-85.41,8.307,30.89,1.276,0.1
Rural,User_Equipment,Telemedicine,1,1,-76.81,12.887,99.11,2.737,95.14
Mountain,IoT_Sensor,Agriculture,0,1,-94.9,14.767,114.62,1.605,90.05
Urban,User_Equipment,Agriculture,0,0,-66.64,0.5,2.69,2.439,5.77
Urban,IoT_Sensor,Smart_City,0,1,-67.04,0.5,114.95,1.733,125.44
Rural,IoT_Sensor,Disaster_Response,1,0,-80.77,16.885,20.41,1.764,3.64
Mountain,IoT_Sensor,Agriculture,1,1,-91.87,24.292,119.43,1.866,82.24
Mountain,User_Equipment,Agriculture,0,1,-94.49,13.199,124.52,2.662,88.88
Urban,UAV_Node,Agriculture,1,0,-56.25,0.834,4.79,3.928,2.56
Urban,User_Equipment,Smart_City,0,1,-76.2,0.5,104.73,2.473,117.83
Rural,IoT_Sensor,Disaster_Response,1,0,-86.34,13.158,17.32,1.701,0.1
Urban,User_Equipment,Telemedicine,0,0,-69.18,3.635,28.47,2.424,6.63
Mountain,IoT_Sensor,Smart_City,1,1,-88.75,16.283,93.73,1.571,122.77
Mountain,IoT_Sensor,Smart_City,0,0,-94.13,2.828,34.01,1.26,0.1
Urban,UAV_Node,Disaster_Response,1,0,-62.78,0.5,8.97,3.799,7.78
Rural,IoT_Sensor,Disaster_Response,1,0,-80.12,2.61,24.32,1.109,6.27
Rural,IoT_Sensor,Smart_City,1,1,-71.55,4.852,104.7,1.063,47.39
Urban,IoT_Sensor,Telemedicine,0,0,-78.0,0.5,12.92,1.588,2.21
Mountain,IoT_Sensor,Smart_City,0,0,-99.14,2.543,27.88,1.615,0.1
Rural,IoT_Sensor,Disaster_Response,0,1,-85.52,7.836,98.89,1.892,89.7
Mountain,User_Equipment,Telemedicine,0,1,-103.22,21.119,106.03,2.793,94.87
Urban,IoT_Sensor,Disaster_Response,0,0,-70.88,0.5,28.42,1.632,4.5
Mountain,UAV_Node,Telemedicine,1,0,-80.69,15.943,26.31,4.284,0.1
Urban,User_Equipment,Agriculture,0,0,-69.9,0.5,1.0,2.643,5.09
Urban,IoT_Sensor,Disaster_Response,0,0,-68.85,0.5,16.25,1.262,6.25
Mountain,IoT_Sensor,Disaster_Response,0,0,-101.3,7.361,24.61,1.692,0.1
Urban,IoT_Sensor,Smart_City,0,1,-73.08,5.814,83.69,1.726,95.66
Urban,User_Equipment,Disaster_Response,1,0,-65.88,0.5,7.63,2.312,4.37
Mountain,IoT_Sensor,Disaster_Response,0,0,-96.59,12.746,36.09,1.129,0.1
Mountain,User_Equipment,Agriculture,1,0,-82.59,10.155,48.29,2.551,0.1
Rural,IoT_Sensor,Disaster_Response,0,1,-82.21,8.872,103.13,2.341,101.68
Rural,User_Equipment,Agriculture,1,0,-84.56,4.401,13.93,2.28,7.96
Urban,IoT_Sensor,Agriculture,1,1,-62.77,0.5,104.56,1.092,109.6
Urban,IoT_Sensor,Agriculture,0,0,-67.51,0.5,15.41,1.622,3.87
Urban,UAV_Node,Agriculture,1,0,-58.3,0.5,8.05,3.904,4.06
Rural,User_Equipment,Telemedicine,0,0,-77.1,0.865,8.46,2.875,6.44
Rural,IoT_Sensor,Smart_City,1,0,-84.08,3.202,2.48,0.987,4.68
Rural,UAV_Node,Telemedicine,0,0,-89.05,8.768,11.1,4.395,3.72
Rural,IoT_Sensor,Disaster_Response,1,0,-85.29,4.481,21.58,1.567,8.33
Urban,UAV_Node,Telemedicine,1,0,-65.17,3.347,14.03,3.824,3.29
Rural,User_Equipment,Telemedicine,1,1,-76.67,14.462,95.84,2.691,85.76
Urban,IoT_Sensor,Disaster_Response,1,0,-59.06,0.5,10.54,1.619,6.3
Rural,IoT_Sensor,Disaster_Response,0,1,-85.38,10.6,106.08,1.974,96.79
Urban,IoT_Sensor,Disaster_Response,0,0,-71.6,0.5,6.83,1.167,5.96
Mountain,User_Equipment,Telemedicine,0,0,-94.24,4.426,42.76,2.835,0.1
Urban,User_Equipment,Telemedicine,0,0,-74.18,0.5,9.98,2.491,6.65
Urban,IoT_Sensor,Disaster_Response,1,0,-53.55,0.5,12.48,1.332,3.07
Urban,IoT_Sensor,Smart_City,0,0,-78.04,0.767,5.33,1.537,6.39
Rural,User_Equipment,Smart_City,1,0,-78.08,0.5,14.99,2.265,7.21
Rural,UAV_Node,Agriculture,1,0,-68.88,2.918,24.75,4.216,6.72
Urban,User_Equipment,Disaster_Response,1,0,-63.97,0.5,25.16,2.285,5.5
Urban,IoT_Sensor,Agriculture,0,0,-70.95,0.5,29.78,1.174,4.54
Rural,IoT_Sensor,Smart_City,1,1,-80.79,11.883,105.22,1.42,89.82
Urban,IoT_Sensor,Agriculture,1,1,-64.9,3.804,88.96,1.43,83.07
Mountain,UAV_Node,Disaster_Response,0,1,-88.14,12.727,106.69,4.623,78.3
Rural,IoT_Sensor,Disaster_Response,1,1,-90.06,19.705,92.2,1.875,90.42
Urban,User_Equipment,Disaster_Response,1,0,-56.33,0.5,33.31,2.055,6.33
Urban,IoT_Sensor,Telemedicine,0,0,-77.12,0.906,8.03,2.264,3.41
Mountain,User_Equipment,Agriculture,0,1,-96.33,5.489,123.94,2.689,75.68
Urban,User_Equipment,Smart_City,0,0,-72.15,0.5,28.93,2.893,2.11
Urban,User_Equipment,Smart_City,0,0,-67.06,0.5,38.3,2.464,4.03
Mountain,IoT_Sensor,Smart_City,0,0,-102.99,6.412,30.9,1.788,0.1
Mountain,IoT_Sensor,Telemedicine,0,0,-92.69,5.124,42.12,1.854,0.1
Mountain,IoT_Sensor,Telemedicine,0,0,-84.88,2.243,57.82,1.91,0.1
Rural,UAV_Node,Disaster_Response,0,1,-91.82,10.235,88.82,4.522,51.47
Urban,UAV_Node,Smart_City,1,0,-63.05,1.195,1.0,4.086,4.62
Urban,User_Equipment,Telemedicine,0,0,-73.31,3.812,1.2,2.482,4.6
Rural,User_Equipment,Disaster_Response,1,1,-76.87,16.844,107.13,2.465,121.95
Rural,User_Equipment,Smart_City,0,0,-84.9,0.5,1.17,2.61,7.55
Urban,IoT_Sensor,Agriculture,0,0,-73.21,0.5,16.28,1.79,5.25
Mountain,UAV_Node,Disaster_Response,0,0,-92.56,12.925,34.37,4.192,0.1
Urban,IoT_Sensor,Telemedicine,0,1,-60.98,0.5,101.85,1.83,104.87
Rural,IoT_Sensor,Telemedicine,0,1,-85.95,13.432,104.25,2.204,78.2
Urban,User_Equipment,Disaster_Response,1,0,-60.4,8.262,22.22,2.19,6.33
Rural,IoT_Sensor,Disaster_Response,0,1,-91.47,15.852,112.79,1.566,80.61
Urban,IoT_Sensor,Telemedicine,1,0,-68.78,3.638,10.48,1.331,6.15
Urban,User_Equipment,Agriculture,1,1,-61.64,9.044,93.23,2.573,87.47
Urban,IoT_Sensor,Smart_City,0,1,-62.58,0.5,92.27,1.353,109.88
Rural,User_Equipment,Agriculture,0,1,-83.22,6.73,108.3,3.04,42.91
Rural,IoT_Sensor,Disaster_Response,1,0,-80.57,6.526,29.0,1.558,6.91
Rural,IoT_Sensor,Agriculture,0,1,-85.0,15.319,104.51,1.818,77.48
Mountain,IoT_Sensor,Telemedicine,0,1,-101.25,11.534,126.83,1.3,84.87
Urban,IoT_Sensor,Disaster_Response,1,0,-60.98,6.151,8.22,1.028,6.19
Urban,User_Equipment,Smart_City,0,1,-65.59,0.5,116.67,2.594,115.96
Mountain,IoT_Sensor,Telemedicine,1,0,-91.26,6.634,50.23,0.793,0.1
Urban,User_Equipment,Telemedicine,1,1,-66.35,8.013,107.36,2.764,100.91
Mountain,IoT_Sensor,Smart_City,0,0,-93.67,0.5,52.82,1.463,0.1
Urban,User_Equipment,Smart_City,0,1,-72.18,4.219,83.43,3.557,137.13
Mountain,UAV_Node,Agriculture,0,0,-95.33,12.091,24.76,4.934,0.1
Urban,User_Equipment,Disaster_Response,0,0,-59.5,0.5,12.65,2.456,6.45
Mountain,IoT_Sensor,Smart_City,0,0,-96.24,8.735,42.21,1.643,0.1
Rural,IoT_Sensor,Smart_City,1,0,-80.79,18.167,9.5,1.962,7.01
Mountain,IoT_Sensor,Disaster_Response,0,0,-98.24,6.59,42.57,2.143,0.1
Urban,User_Equipment,Smart_City,0,0,-66.28,0.5,33.71,2.019,5.05
Rural,IoT_Sensor,Smart_City,1,0,-79.91,15.361,26.95,1.071,4.39
Mountain,IoT_Sensor,Agriculture,1,0,-92.25,23.936,37.84,1.592,0.1
Rural,User_Equipment,Telemedicine,1,0,-72.39,4.215,10.12,2.559,0.1
Rural,IoT_Sensor,Telemedicine,0,1,-77.9,9.008,91.53,1.829,137.38
Rural,User_Equipment,Telemedicine,1,0,-82.0,15.708,32.5,2.935,4.02
Rural,IoT_Sensor,Telemedicine,0,1,-94.33,8.454,107.79,1.309,105.53
Rural,IoT_Sensor,Smart_City,0,1,-79.96,2.555,99.61,0.856,100.17
Rural,User_Equipment,Disaster_Response,0,0,-88.42,10.366,15.82,2.965,2.62
Mountain,IoT_Sensor,Disaster_Response,1,0,-85.05,18.949,14.74,1.431,0.1
Urban,User_Equipment,Agriculture,0,1,-79.85,7.74,89.29,2.049,87.78
Urban,IoT_Sensor,Agriculture,0,0,-65.54,0.5,39.11,1.554,5.95
Mountain,IoT_Sensor,Smart_City,0,0,-101.06,20.463,22.2,2.147,0.1
Mountain,User_Equipment,Disaster_Response,0,0,-91.35,3.018,36.89,2.524,0.1
Rural,User_Equipment,Disaster_Response,1,1,-78.93,10.789,110.07,2.378,128.7
Rural,User_Equipment,Telemedicine,1,0,-83.77,11.597,7.45,2.484,5.07
Urban,IoT_Sensor,Smart_City,1,0,-66.04,8.788,21.85,1.365,2.27
Urban,User_Equipment,Smart_City,0,1,-66.57,2.554,109.38,2.147,98.44
Rural,IoT_Sensor,Telemedicine,0,1,-84.47,9.31,100.12,1.472,63.16
Urban,IoT_Sensor,Smart_City,0,0,-67.08,0.5,48.68,1.666,5.99
Rural,UAV_Node,Smart_City,0,0,-75.12,0.5,1.0,4.107,5.0
Urban,IoT_Sensor,Agriculture,0,1,-77.82,6.701,110.59,1.684,113.97
Mountain,UAV_Node,Disaster_Response,1,0,-80.91,0.5,28.27,3.511,0.1
Mountain,IoT_Sensor,Smart_City,0,0,-94.48,5.756,42.72,1.561,0.1
